Nom,Marque,Taille,Prix,Categorie,Entreprise
Boisson au jus,STIL,La brique de 20cl,0.87,1,Carrefour
Eau minérale,DELICE,250ML,0.3,1,Geant
Eau minérale,AQUALINE,0.5L,0.4,1,Geant
Eau minérale,MARWA,0.5L,0.42,1,Geant
Eau minérale,CRISTALINE,0.5L,0.42,1,Geant
Eau minérale,SAFIA,0.5L,0.42,1,Geant
Eau minérale,MELLITI,0.5L,0.42,1,Geant
Eau minérale,MELINA,0.5L,0.42,1,Geant
Eau gazéifiée,JEKTISS,0.5L,0.45,1,Geant
Eau minérale,PALMA,0.5L,0.5,1,Geant
Boisson au jus,FRUZZY,125ML Orange,0.52,1,Geant
Boisson au jus,FRUZZY,125ML Tropical,0.52,1,Geant
Eau minérale,CRISTALINE,1.5L,0.62,1,Geant
Eau gazéifiée,GARCI,1L,0.62,1,Geant
Eau minérale,MELLITI,1.5L,0.63,1,Geant
Eau minérale,AQUALINE,1L,0.63,1,Geant
Boisson au jus,JUGO KIDS,125ML Orange,0.59,1,Geant
Boisson au jus,JUGO KIDS,125ML Poire,0.59,1,Geant
Eau minérale,MARWA,1.5L,0.64,1,Geant
Eau gazéifiée,JEKTISS,1L,0.645,1,Geant
Eau minérale,SABRINE,1.5L,0.65,1,Geant
Eau minérale,AQUALINE,1.5L,0.66,1,Geant
Eau minérale,DIMA,1.5L,0.66,1,Geant
Eau minérale,TIJEN,1.5L,0.67,1,Geant
Eau minérale,SAFIA,1.5L,0.69,1,Geant
Eau minérale,PALMA,1.5L,0.75,1,Geant
Eau minérale,DIMA,2L,0.75,1,Geant
Eau minérale,AQUALINE,2L,0.76,1,Geant
Eau minérale,MELINA,2Litres,0.79,1,Geant
Eau minérale,MIRA,2L,0.79,1,Geant
Eau minérale,CRISTALINE,2L,0.84,1,Geant
Eau minérale,FOURAT,2L,0.85,1,Geant
Boisson au jus,DELICE,20CL Ananas,0.87,1,Geant
Boisson au jus,STIL,20CL Pêche,0.87,1,Geant
Boisson au jus,STIL,20CL Orange-Banane Bnino,0.87,1,Geant
Boisson au jus,STIL,20CL Ananas,0.87,1,Geant
Boisson au jus,STIL,20CL Fraise-Banane Bnino,0.87,1,Geant
Boisson au jus,STIL,20CL Mangue,0.87,1,Geant
Boisson au jus,DELICE,20CL Mangue,0.87,1,Geant
Boisson au jus,STIL,20CL Orange,0.87,1,Geant
Boisson au jus,STIL,20CL Frutto Bnino,0.87,1,Geant
Nectar,DELICE,20CL Multi Vitaminée,0.87,1,Geant
Boisson au jus,DELICE,20CL Orange,0.87,1,Geant
Boisson au jus,STIL,20CL Tropical Bnino,0.87,1,Geant
Eau minérale,PALMA,2L,0.9,1,Geant
Boisson au jus,TROPICO,20CL Cocktail,0.94,1,Geant
Eau gazéifiée,DELICE DELI'O,250ML Pêche,0.96,1,Geant
Eau gazéifiée,DELICE DELI'O,250ML Ananas,0.96,1,Geant
Eau gazéifiée,DELICE DELI'O,250ML Fraise,0.96,1,Geant
Eau gazéifiée,DELICE DELI'O,250ML Menthe,0.96,1,Geant
Eau gazéifiée,DELICE DELI'O,250ML Poire,0.96,1,Geant
Eau gazéifiée,DELICE DELI'O,250ML Pomme,0.96,1,Geant
Boisson gazeuse,COCA COLA,24CL Zéro,1.16,1,Geant
Boisson au jus,STIL,25CL Mangue Energy,1.2,1,Geant
